"Tabela 4714 - População Residente, Área territorial e Densidade demográfica - Ranking descendente"
"Variável - Densidade demográfica (Habitante por quilômetro quadrado)"
"#","Cód.","Município","Ano"
"#","Cód.","Município","2022"
"1","3552809","Taboão da Serra (SP)","13416.81"
"2","3513801","Diadema (SP)","12795.69"
"3","3305109","São João de Meriti (RJ)","12521.64"
"4","3534401","Osasco (SP)","11217.40"
"5","3510609","Carapicuíba (SP)","11201.99"
"6","3548807","São Caetano do Sul (SP)","10805.23"
"7","2609600","Olinda (PE)","8474.00"
"8","2304400","Fortaleza (CE)","7775.52"
"9","3303203","Nilópolis (RJ)","7568.40"
"10","3550308","São Paulo (SP)","7528.26"
"11","3106200","Belo Horizonte (MG)","6988.18"
"12","2611606","Recife (PE)","6803.60"
"13","3525003","Jandira (SP)","6765.14"
"14","3529401","Mauá (SP)","6753.01"
"15","3300456","Belford Roxo (RJ)","6116.19"
"16","3515707","Ferraz de Vasconcelos (SP)","6064.85"
"17","3539806","Poá (SP)","6010.48"
"18","3304557","Rio de Janeiro (RJ)","5174.60"
"19","3505708","Barueri (SP)","4816.87"
"20","2408102","Natal (RN)","4488.03"
"21","3523107","Itaquaquecetuba (SP)","4469.45"
"22","3547809","Santo André (SP)","4260.50"
"23","4106902","Curitiba (PR)","4078.53"
"24","3302858","Mesquita (RJ)","4059.54"
"25","3518800","Guarulhos (SP)","4053.57"
"26","2507507","João Pessoa (PB)","3970.27"
"27","3519071","Hortolândia (SP)","3791.35"
"28","3304904","São Gonçalo (RJ)","3613.57"
"29","3303302","Niterói (RJ)","3601.67"
"30","3515004","Embu das Artes (SP)","3561.05"
"31","2610707","Paulista (PE)","3529.97"
"32","2919207","Lauro de Freitas (BA)","3509.22"
"33","2927408","Salvador (BA)","3486.49"
"34","3516309","Francisco Morato (SP)","3370.11"
"35","3205309","Vitória (ES)","3324.33"
"36","2800308","Aracaju (SE)","3308.89"
"37","3556503","Várzea Paulista (SP)","3296.44"
"38","5221858","Valparaíso de Goiás (GO)","3234.14"
"39","3118601","Contagem (MG)","3193.20"
"40","4303103","Cachoeirinha (RS)","3112.48"
"41","4202008","Balneário Camboriú (SC)","3077.70"
"42","2501807","Bayeux (PB)","2986.54"
"43","2603454","Camaragibe (PE)","2879.35"
"44","3522505","Itapevi (SP)","2810.34"
"45","4307708","Esteio (RS)","2751.01"
"46","4314902","Porto Alegre (RS)","2690.50"
"47","4304606","Canoas (RS)","2658.15"
"48","4300604","Alvorada (RS)","2612.48"
"49","1500800","Ananindeua (PA)","2512.20"
"50","2607901","Jaboatão dos Guararapes (PE)","2489.28"
"51","3129806","Ibirité (MG)","2355.65"
"52","3541000","Praia Grande (SP)","2338.32"
"53","3157336","Santa Cruz de Minas (MG)","2274.61"
"54","4320008","Sapucaia do Sul (RS)","2268.05"
"55","2307650","Maracanaú (CE)","2231.91"
"56","3551009","São Vicente (SP)","2226.86"
"57","2503209","Cabedelo (PB)","2226.73"
"58","3205200","Vila Velha (ES)","2224.86"
"59","3154606","Ribeirão das Neves (MG)","2126.26"
"60","4318705","São Leopoldo (RS)","2110.58"
"61","4119152","Pinhais (PR)","2086.76"
"62","2403251","Parnamirim (RN)","2037.93"
"63","3518701","Guarujá (SP)","1986.50"
"64","3548708","São Bernardo do Campo (SP)","1979.65"
"65","5208707","Goiânia (GO)","1970.90"
"66","5201405","Aparecida de Goiânia (GO)","1885.30"
"67","2704302","Maceió (AL)","1880.77"
"68","3304144","Queimados (RJ)","1850.76"
"69","3552403","Sumaré (SP)","1821.56"
"70","3171204","Vespasiano (MG)","1819.34"
"71","4216602","São José (SC)","1796.02"
"72","2111300","São Luís (MA)","1779.87"
"73","3501608","Americana (SP)","1771.61"
"74","3301702","Duque de Caxias (RJ)","1729.36"
"75","3552205","Sorocaba (SP)","1608.64"
"76","2615409","Toritama (PE)","1600.41"
"77","3303500","Nova Iguaçu (RJ)","1509.60"
"78","3552502","Suzano (SP)","1490.67"
"79","3548500","Santos (SP)","1489.53"
"80","3306305","Volta Redonda (RJ)","1436.33"
"81","3509502","Campinas (SP)","1433.54"
"82","3131307","Ipatinga (MG)","1381.16"
"83","2111201","São José de Ribamar (MA)","1356.04"
"84","4208302","Itapema (SC)","1304.59"
"85","4107652","Fazenda Rio Grande (PR)","1275.93"
"86","3201308","Cariacica (ES)","1263.74"
"87","2804805","Nossa Senhora do Socorro (SE)","1240.69"
"88","1501402","Belém (PA)","1230.25"
"89","3544103","Rio Grande da Serra (SP)","1215.43"
"90","3106705","Betim (MG)","1197.01"
